build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2451.385,        0.000
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2458.526,        0.000
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2459.106,        0.000
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2459.930,        0.000
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2465.108,        0.000
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2467.333,        0.000
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2448.328,        0.074
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2459.950,        0.074
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2460.839,        0.073
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2461.358,        0.074
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2464.006,        0.075
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2488.200,        0.075
 3408409528,       152.365,              1,         1092646832,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         3.920,        0.000
 3437362608,       165.885,              1,         1236912688,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         1.342,        0.000
 3493011248,       168.913,              1,         1292561328,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.506,        0.000
 3502758320,       169.049,              1,         1302308400,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.239,        0.000
 3503257264,       169.323,              1,         1302807344,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.128,        0.000
 3502387504,       169.574,              1,         1301937584, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.076,        0.000
 3408409528,       151.850,              1,         1092646832,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         3.898,        0.069
 3437362608,       165.933,              1,         1236912688,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         1.368,        0.074
 3493011248,       168.147,              1,         1292561328,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.515,        0.069
 3502758320,       170.463,              1,         1302308400,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.247,        0.074
 3503257264,       170.102,              1,         1302807344,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.131,        0.075
 3502387504,       170.337,              1,         1301937584, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.078,        0.075
 3408409528,       145.437,              1,         1092646832,    33554432,         64,               25,                      0,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       221.187,        0.000
 3437362608,       159.908,              1,         1236912688,   134217728,         64,               25,                      2,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       159.320,        0.000
 3493011248,       162.027,              1,         1292561328,   536870912,         64,               25,                      4,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       138.119,        0.000
 3502758320,       162.446,              1,         1302308400,  2147483648,         64,               25,                      6,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       130.598,        0.000
 3503257264,       162.273,              1,         1302807344,  8589934592,         64,               25,                      8,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       133.214,        0.000
 3502387504,       162.953,              1,         1301937584, 34359738368,         64,               25,                     10,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       130.445,        0.000
 3408409528,       150.023,              1,         1092646832,    33554432,         64,               25,                      0,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        29.095,       67.934
 3437362608,       161.558,              1,         1236912688,   134217728,         64,               25,                      2,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        29.333,       67.795
 3493011248,       164.495,              1,         1292561328,   536870912,         64,               25,                      4,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        31.279,       67.830
 3502758320,       165.426,              1,         1302308400,  2147483648,         64,               25,                      6,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        36.618,       68.027
 3503257264,       165.162,              1,         1302807344,  8589934592,         64,               25,                      8,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        47.505,       68.037
 3502387504,       167.331,              1,         1301937584, 34359738368,         64,               25,                     10,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        38.880,       67.928
 3408409528,       145.310,              1,         1092646832,    33554432,         64,               25,                      0,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       681.250,        0.000
 3437362608,       158.413,              1,         1236912688,   134217728,         64,               25,                      2,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       308.442,        0.000
 3493011248,       160.955,              1,         1292561328,   536870912,         64,               25,                      4,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       205.791,        0.000
 3502758320,       161.875,              1,         1302308400,  2147483648,         64,               25,                      6,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       170.252,        0.000
 3503257264,       162.925,              1,         1302807344,  8589934592,         64,               25,                      8,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       159.865,        0.000
 3502387504,       162.387,              1,         1301937584, 34359738368,         64,               25,                     10,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       154.800,        0.000
 3408409528,       148.939,              1,         1092646832,    33554432,         64,               25,                      0,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        59.382,       67.960
 3437362608,       162.833,              1,         1236912688,   134217728,         64,               25,                      2,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        43.431,       67.807
