build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
 3437362608,       162.201,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      6,      5,             0,            0,    rtx_index,           32,      2164.382,        0.000
 3493011248,       163.849,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      6,      5,             0,            0,    rtx_index,           32,       813.942,        0.000
 3502758320,       166.602,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      6,      5,             0,            0,    rtx_index,           32,       405.033,        0.000
 3408409528,       150.066,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      6,      5,             0,            1,    rtx_index,           32,       539.542,       32.255
 3437362608,       165.861,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      6,      5,             0,            1,    rtx_index,           32,       159.820,       32.165
 3493011248,       169.061,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      6,      5,             0,            1,    rtx_index,           32,        80.994,       32.250
 3502758320,       169.623,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      6,      5,             0,            1,    rtx_index,           32,        81.361,       32.276
 3408409528,       149.443,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      8,      5,             0,            0,    rtx_index,           32,     27364.927,        0.000
 3437362608,       163.052,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      8,      5,             0,            0,    rtx_index,           32,      7994.978,        0.000
 3493011248,       164.411,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      8,      5,             0,            0,    rtx_index,           32,      2802.406,        0.000
 3502758320,       167.270,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      8,      5,             0,            0,    rtx_index,           32,      1180.347,        0.000
 3408409528,       150.634,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      8,      5,             0,            1,    rtx_index,           32,      2109.727,       32.497
 3437362608,       162.929,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      8,      5,             0,            1,    rtx_index,           32,       555.954,       32.227
 3493011248,       167.413,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      8,      5,             0,            1,    rtx_index,           32,       189.302,       32.236
 3502758320,       168.643,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      8,      5,             0,            1,    rtx_index,           32,       130.007,       32.254
 3408409528,       147.738,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                     10,      5,             0,            0,    rtx_index,           32,    108172.794,        0.000
 3437362608,       161.068,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                     10,      5,             0,            0,    rtx_index,           32,     31210.423,        0.000
 3493011248,       166.480,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                     10,      5,             0,            0,    rtx_index,           32,     10575.839,        0.000
 3502758320,       164.116,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                     10,      5,             0,            0,    rtx_index,           32,      4225.208,        0.000
 3408409528,       152.543,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                     10,      5,             0,            1,    rtx_index,           32,      8465.720,       32.308
 3437362608,       165.880,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                     10,      5,             0,            1,    rtx_index,           32,      2162.293,       32.349
 3493011248,       168.092,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                     10,      5,             0,            1,    rtx_index,           32,       627.798,       32.446
 3502758320,       166.911,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                     10,      5,             0,            1,    rtx_index,           32,       356.367,       32.254
  674015743,         9.530,              1,          268435456,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         3.596,        0.000
  674015743,         9.587,              1,          268435456,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.970,        0.000
  674015743,         9.585,              1,          268435456,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.280,        0.000
  674015743,         9.600,              1,          268435456,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.104,        0.000
  674015743,         9.493,              1,          268435456,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         3.617,        0.029
  674015743,         9.552,              1,          268435456,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.953,        0.030
  674015743,         9.611,              1,          268435456,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.271,        0.029
  674015743,         9.612,              1,          268435456,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.098,        0.030
