build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      1623.835,        0.000
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      1624.022,        0.000
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      1625.468,        0.000
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      1624.245,        0.000
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      1622.987,        0.020
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      1624.708,        0.020
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      1626.050,        0.020
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      1624.496,        0.020
 3393079352,        65.533,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         2.093,        0.000
 3393079352,        67.035,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.734,        0.000
 3427422128,        68.270,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.317,        0.000
 3438185520,        68.826,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.161,        0.000
 3393079352,        65.285,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         2.076,        0.017
 3393079352,        67.038,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.744,        0.017
 3427422128,        68.314,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.319,        0.017
 3438185520,        68.516,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.162,        0.017
 3393079352,        63.860,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        65.142,        0.000
 3393079352,        65.692,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        33.623,        0.000
 3427422128,        66.584,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        22.987,        0.000
 3438185520,        66.828,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        19.526,        0.000
 3393079352,        65.132,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        13.776,       11.096
 3393079352,        66.777,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        12.484,       11.096
 3427422128,        67.721,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        10.647,       11.095
 3438185520,        67.966,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,         7.913,       11.109
 3393079352,        63.880,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       212.563,        0.000
 3393079352,        65.625,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,        82.863,        0.000
 3427422128,        66.581,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,        41.861,        0.000
 3438185520,        66.779,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,        27.042,        0.000
 3393079352,        65.063,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        28.793,       11.100
 3393079352,        66.780,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        17.512,       11.082
 3427422128,        67.710,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        16.613,       11.119
 3438185520,        67.876,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,         9.445,       11.112
