build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_hit_rate, i_key_size, i_log_build_size, i_log_num_batches, i_log_probe_size, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
  861426736,        16.369,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        45.296,        0.000
  861426736,        16.358,              1,          315143984,                  1.000,      0.500,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        26.858,        0.000
  861426736,        16.385,              1,          315143984,                  1.000,      0.100,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        12.154,        0.000
  861426736,        16.360,              1,          315143984,                  1.000,      0.010,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        11.215,        0.000
  861426736,        16.373,              1,          315143984,                  1.000,      0.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        11.105,        0.000
  861426736,        16.371,              1,          315143984,                  1.000,      1.000,         32,               23,                 4,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        45.565,        0.000
  861426736,        16.273,              1,          315143984,                  1.000,      1.000,         32,               23,                 8,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        49.829,        0.000
  861426736,        16.016,              1,          315143984,                  1.000,      1.000,         32,               23,                12,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       113.227,        0.000
  848272696,        14.694,              1,          301669296,                  0.500,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        44.597,        0.000
  848272696,        13.174,              1,          293992112,                  0.100,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        43.844,        0.000
  848272696,        12.580,              1,          271236016,                  0.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        42.537,        0.000
  861426736,        16.378,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    0.500,      5,             0,            0,    rtx_index,           32,         5.734,        0.000
  861426736,        16.393,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    1.000,      5,             0,            0,    rtx_index,           32,         5.731,        0.000
  861426736,        16.381,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    2.000,      5,             0,            0,    rtx_index,           32,         5.733,        0.000
  861426736,        17.104,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         7.623,        5.847
  861426736,        17.090,              1,          315143984,                  1.000,      0.500,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         7.120,        5.838
  861426736,        17.103,              1,          315143984,                  1.000,      0.100,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         6.978,        5.844
  861426736,        17.094,              1,          315143984,                  1.000,      0.010,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         6.505,        5.830
  861426736,        17.099,              1,          315143984,                  1.000,      0.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         5.609,        5.829
  861426736,        16.374,              1,          315143984,                  1.000,      1.000,         32,               23,                 4,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        13.990,        4.166
  861426736,        16.031,              1,          315143984,                  1.000,      1.000,         32,               23,                 8,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        49.671,       14.117
  861426736,        16.016,              1,          315143984,                  1.000,      1.000,         32,               23,                12,               27,                    0.000,      5,             0,            1,    rtx_index,           32,       114.514,      187.526
  848272696,        15.610,              1,          301669296,                  0.500,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         7.845,        5.843
  848272696,        14.017,              1,          293992112,                  0.100,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         7.938,        5.828
  848272696,        13.155,              1,          271236016,                  0.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,         7.800,        5.796
  861426736,        17.102,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    0.500,      5,             0,            1,    rtx_index,           32,         5.707,        5.765
  861426736,        17.099,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    1.000,      5,             0,            1,    rtx_index,           32,         5.708,        5.766
  861426736,        17.089,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    2.000,      5,             0,            1,    rtx_index,           32,         5.710,        5.767
  861003440,        15.058,              1,          314720688,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        45.230,        0.000
  861003440,        15.441,              1,          314720688,                  1.000,      0.500,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        26.855,        0.000
  861003440,        15.422,              1,          314720688,                  1.000,      0.100,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        12.170,        0.000
  861003440,        15.431,              1,          314720688,                  1.000,      0.010,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        11.188,        0.000
  861003440,        15.430,              1,          314720688,                  1.000,      0.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        11.033,        0.000
  861003440,        15.345,              1,          314720688,                  1.000,      1.000,         32,               23,                 4,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        45.553,        0.000
  861003440,        15.133,              1,          314720688,                  1.000,      1.000,         32,               23,                 8,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        49.714,        0.000
  861003440,        15.060,              1,          314720688,                  1.000,      1.000,         32,               23,                12,               27,                    0.000,      5,             1,            0,    rtx_index,           32,       112.128,        0.000
  848272696,        14.341,              1,          299327408,                  0.500,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        44.538,        0.000
  848272696,        13.203,              1,          293589296,                  0.100,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        43.858,        0.000
  848272696,        12.474,              1,          271236016,                  0.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        42.566,        0.000
  861003440,        15.433,              1,          314720688,                  1.000,      1.000,         32,               23,                 0,               27,                    0.500,      5,             1,            0,    rtx_index,           32,         5.689,        0.000
  861003440,        15.435,              1,          314720688,                  1.000,      1.000,         32,               23,                 0,               27,                    1.000,      5,             1,            0,    rtx_index,           32,         5.689,        0.000
  861003440,        15.445,              1,          314720688,                  1.000,      1.000,         32,               23,                 0,               27,                    2.000,      5,             1,            0,    rtx_index,           32,         5.689,        0.000
  861003440,        16.005,              1,          314720688,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,         7.469,        5.845
  861003440,        16.003,              1,          314720688,                  1.000,      0.500,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,         6.737,        5.845
  861003440,        15.993,              1,          314720688,                  1.000,      0.100,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,         6.638,        5.837
  861003440,        15.996,              1,          314720688,                  1.000,      0.010,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,         6.440,        5.833
  861003440,        16.004,              1,          314720688,                  1.000,      0.000,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,         5.601,        5.838
  861003440,        15.452,              1,          314720688,                  1.000,      1.000,         32,               23,                 4,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        10.997,        4.164
  861003440,        15.048,              1,          314720688,                  1.000,      1.000,         32,               23,                 8,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        42.913,       14.152
  861003440,        15.064,              1,          314720688,                  1.000,      1.000,         32,               23,                12,               27,                    0.000,      5,             1,            1,    rtx_index,           32,       111.477,      187.572
  848272696,        14.964,              1,          299327408,                  0.500,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,         7.758,        5.825
