build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2202.961,        0.000
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2202.101,        0.000
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2198.460,        0.000
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2198.627,        0.000
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2199.036,        0.000
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2197.078,        0.000
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2199.500,        0.070
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2199.668,        0.070
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2197.866,        0.070
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2197.833,        0.069
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2198.168,        0.071
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2197.442,        0.071
 3393079352,        64.926,              1,         1080175664,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         2.097,        0.000
 3393079352,        67.221,              1,         1190884144,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.732,        0.000
 3427422128,        67.584,              1,         1242302384,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.315,        0.000
 3438185520,        68.118,              1,         1253065776,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.161,        0.000
 3439308336,        68.006,              1,         1254188592,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.092,        0.000
 3438724400,        68.209,              1,         1253604656, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.058,        0.000
 3393079352,        65.123,              1,         1080175664,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         2.106,        0.070
 3393079352,        66.950,              1,         1190884144,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.747,        0.069
 3427422128,        67.532,              1,         1242302384,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.317,        0.069
 3438185520,        67.867,              1,         1253065776,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.162,        0.068
 3439308336,        67.941,              1,         1254188592,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.093,        0.070
 3438724400,        67.898,              1,         1253604656, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.057,        0.070
 3393079352,        62.397,              1,         1080175664,    33554432,         64,               25,                      0,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        66.142,        0.000
 3393079352,        64.188,              1,         1190884144,   134217728,         64,               25,                      2,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        34.940,        0.000
