build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2990.108,        0.000
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2991.528,        0.000
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2991.283,        0.000
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2999.378,        0.000
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,         scan,           32,      3001.052,        0.000
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,         scan,           32,      3001.467,        0.000
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      3000.555,        0.077
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      3001.631,        0.078
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      3001.057,        0.077
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      3001.239,        0.077
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,         scan,           32,      3000.981,        0.079
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1,         scan,           32,      3000.324,        0.079
 3393079352,        94.786,              1,         1080599600,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         3.763,        0.000
 3393079352,       100.740,              1,         1192089904,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.950,        0.000
 3427567792,       102.992,              1,         1242448048,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.375,        0.000
 3438095152,       103.336,              1,         1252975408,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.183,        0.000
 3439308336,       103.743,              1,         1254188592,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.105,        0.000
 3438724400,       103.357,              1,         1253604656, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.063,        0.000
 3393079352,        94.676,              1,         1080599600,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         3.634,        0.084
 3393079352,       100.924,              1,         1192089904,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.961,        0.086
 3427567792,       102.959,              1,         1242448048,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.382,        0.086
 3438095152,       103.472,              1,         1252975408,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.191,        0.086
 3439308336,       103.526,              1,         1254188592,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.106,        0.087
