build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2236.870,        0.000
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2244.548,        0.000
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2228.262,        0.000
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2228.556,        0.000
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2226.957,        0.026
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2228.254,        0.026
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2228.509,        0.026
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2227.930,        0.027
 3393079352,        84.000,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         2.546,        0.000
 3393079352,        89.845,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.864,        0.000
 3427422128,        91.087,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.341,        0.000
 3438185520,        91.405,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.172,        0.000
 3393079352,        83.967,              1,         1080175664,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         2.551,        0.021
 3393079352,        89.840,              1,         1190884144,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.887,        0.021
 3427422128,        91.252,              1,         1242302384,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.345,        0.021
 3438185520,        91.443,              1,         1253065776,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.173,        0.022
  676361727,         3.196,              1,          268435456,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         2.036,        0.000
  676361727,         3.198,              1,          268435456,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.571,        0.000
  676361727,         3.206,              1,          268435456,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.164,        0.000
  676361727,         3.195,              1,          268435456,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.062,        0.000
  676361727,         3.197,              1,          268435456,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         1.779,        0.021
  676361727,         3.203,              1,          268435456,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.507,        0.022
  676361727,         3.203,              1,          268435456,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.147,        0.023
  676361727,         3.224,              1,          268435456,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.056,        0.022
 1289929599,         4.629,              1,          613567872,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,  b_link_tree,           32,         1.887,        0.000
 1289929599,         4.630,              1,          613567872,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,  b_link_tree,           32,         0.640,        0.000
 1289929599,         4.639,              1,          613567872,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,  b_link_tree,           32,         0.200,        0.000
 1289929599,         4.637,              1,          613567872,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,  b_link_tree,           32,         0.103,        0.000
 1289929599,         4.624,              1,          613567872,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,  b_link_tree,           32,         1.845,        0.023
 1289929599,         4.636,              1,          613567872,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,  b_link_tree,           32,         0.577,        0.024
 1289929599,         4.630,              1,          613567872,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,  b_link_tree,           32,         0.197,        0.024
 1289929599,         4.636,              1,          613567872,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,  b_link_tree,           32,         0.100,        0.024
