build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_hit_rate, i_key_size, i_log_build_size, i_log_num_batches, i_log_probe_size, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
  861426736,        22.697,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        76.943,        0.000
  861426736,        23.365,              1,          315143984,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        18.630,        6.506
  861003440,        21.324,              1,          314720688,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        76.948,        0.000
  861003440,        22.236,              1,          314720688,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        18.397,        6.356
 1729259056,        45.213,              1,          636697264,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        85.328,        0.000
 1729259056,        45.499,              1,          636697264,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        22.859,        6.354
 1727288880,        41.802,              1,          634727088,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        85.246,        0.000
 1727288880,        42.322,              1,          634727088,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        21.594,        6.383
 3438902576,        89.507,              1,         1253782832,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        93.708,        0.000
 3438902576,        90.116,              1,         1253782832,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        27.359,        6.330
 3436402864,        81.343,              1,         1251283120,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        93.793,        0.000
 3436402864,        81.678,              1,         1251283120,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        25.720,        6.341
 6858479280,       187.629,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             0,            0,    rtx_index,           32,         0.032,        0.000
 6858479280,       186.655,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             0,            1,    rtx_index,           32,         0.032,        0.017
 6855420720,       167.776,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             1,            0,    rtx_index,           32,         0.032,        0.000
 6855420720,       167.332,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             1,            1,    rtx_index,           32,         0.032,        0.018
 6858479280,       184.639,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             0,            0,    rtx_index,           32,        12.860,        0.000
 6858479280,       184.731,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             0,            1,    rtx_index,           32,         9.680,        0.845
 6855420720,       165.639,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             1,            0,    rtx_index,           32,        12.841,        0.000
 6855420720,       166.103,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             1,            1,    rtx_index,           32,         8.086,        0.847
 6858479280,       184.269,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             0,            0,    rtx_index,           32,        25.667,        0.000
 6858479280,       184.487,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             0,            1,    rtx_index,           32,        16.703,        1.632
 6855420720,       163.235,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             1,            0,    rtx_index,           32,        25.757,        0.000
 6855420720,       165.026,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             1,            1,    rtx_index,           32,        14.067,        1.635
 6858479280,       183.002,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             0,            0,    rtx_index,           32,        51.283,        0.000
 6858479280,       183.478,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             0,            1,    rtx_index,           32,        25.283,        3.205
 6855420720,       163.799,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             1,            0,    rtx_index,           32,        51.219,        0.000
 6855420720,       164.199,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             1,            1,    rtx_index,           32,        21.259,        3.204
 6858479280,       181.813,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       102.590,        0.000
 6858479280,       181.479,              1,         2488243760,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        35.431,        6.386
 6855420720,       162.696,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,       102.625,        0.000
 6855420720,       163.070,              1,         2485185200,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        31.569,        6.353
  169097727,         0.866,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0, sorted_array,           32,       151.400,        0.000
  169097727,         0.877,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1, sorted_array,           32,         8.159,        6.379
  169097727,         0.829,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0, sorted_array,           32,       151.613,        0.000
  169097727,         0.896,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            1, sorted_array,           32,         7.848,        6.391
  338185727,         1.644,              1,          134217728,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             0,            0, sorted_array,           32,       209.189,        0.000
